City of Garland,,,,,,,,,,,,,,,,,,,,,,,,,
,,C1 P2,,,,,,,,,,,,,,,,,,,,,,,
,,C1 P1,,,,Standard Port,bold = Same patch (loopback),,,,,,,,,,,,,,,,,,
,,,,,,Special Port,,,,,,,,,,,,,,,,,,,
,,,,,,EMPTY,,,,,,,,,,,,,,,,,,,
,,,,,,Unplugged Cable,,,,,,,,,,,,,,,,,,,
,,,,,,RE-TEST,,,,,,,,,,,,,,,,,,,
,,Source,,,,Destination,,,,,,,,,,,,,,,,,,,
Type (L1/L2),Physical Location,Device Hostname (Logical),Panel (Physical),Port,,Device Hostname (Logical),Panel (Physical),Port,Notes #1,Notes #2,Labeled?,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,63,,P1-22,RS P3,E8,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,64,,P1-21,RS P3,E7,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,65,,"P2-59 EMIT 1-2-14, PD 1-7-1",RS P3,D11,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,66,,P2-60 PD 2-7-1 to EMIT 2-2-14,RS P3,D12,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,67,,P2-28 To EMIT MPLS,RS P3,B5,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,68,,P5-89,RS P3,B6,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,69,,Vacant,RS P3,Unplugged,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,70,,P4-44 Raging Wire,RS P3,C4,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,71,,P2-12 PD 911 2-1-1,RS P3,C6,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,72,,P2-66 PD 911 1-1-1,RS P3,C5,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,73,,Service Center,RS P3,F10,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,74,,"Service Center, C2-5-41",RS P3,F9,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,75,,"Service Center, C1-5-14",RS P2,A4,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,76,,Service Center,RS P2,A3,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,77,,"Service Center, C1-5-48",RS P3,C7,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,78,,"Service Center, C2-5-0-6",RS P3,C8,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,79,,Service Center,RS P3,C9,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,80,,"Service Center, 217 Parks for Lights",RS P3,C10,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,81,,Service Center,RS P3,C3,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,,RS P1,82,,,EMPTY,-,,,,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,83,,Service Center,RS P1,94,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,84,,Service Center,RS P1,94,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,,RS P1,85,,,EMPTY,-,,,,,,,,,,,,,,,,,
Fiber,Radio Shop,,RS P1,86,,,EMPTY,-,,,,,,,,,,,,,,,,,
Fiber,Radio Shop,,RS P1,87,,,EMPTY,-,,,,,,,,,,,,,,,,,
Fiber,Radio Shop,,RS P1,88,,,EMPTY,-,,,,,,,,,,,,,,,,,
Fiber,Radio Shop,,RS P1,89,,,EMPTY,-,,,,,,,,,,,,,,,,,
Fiber,Radio Shop,,RS P1,90,,,EMPTY,-,,,,,,,,,,,,,,,,,
Fiber,Radio Shop,,RS P1,91,,,EMPTY,-,,,,,,,,,,,,,,,,,
Fiber,Radio Shop,,RS P1,92,,,EMPTY,-,,,,,,,,,,,,,,,,,
Fiber,Radio Shop,,RS P1,93,,,EMPTY,-,,,,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,94,,Code 210 Carver,RS P1,83 or 84,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,,RS P1,95,,,EMPTY,-,,,,,,,,,,,,,,,,,
Fiber,Radio Shop,,RS P1,96,,,EMPTY,-,,,,,,,,,,,,,,,,,
Fiber,Radio Shop,,RS P3,A1,,,EMPTY,-,,,,,,,,,,,,,,,,,
Fiber,Radio Shop,,RS P3,A2,,Vacant at CH,RS P1,10,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,,RS P3,A3,,Vacant at CH,RS P1,34,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,,RS P3,A4,,,RS P1,Unplugged,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,,RS P3,A5,,Vacant at CH,RS P1,36,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,,RS P3,A6,,Vacant at CH,RS P1,35,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,,RS P3,A7,,CH to P2 37 PD,RS P1,50,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,,RS P3,A8,,CH to P2 38 PD,RS P1,49,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,,RS P3,A9,,,RS P1,51 or 52,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,,RS P3,A10,,,RS P1,51 or 52,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,,RS P3,A11,,Vacant at CH,RS P1,6,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,,RS P3,A12,,C1-7-1,RS P1,5,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,,RS P3,B1,,,RS P1,17,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,,RS P3,B2,,,RS P1,18,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,EMIT Core ISCSI 1-1-4,RS P3,B3,,GPD 2-7-03,RS P1,24,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,EMIT Core ISCIS 2-1-4,RS P3,B4,,GPD 1-7-03,RS P1,23,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,,RS P3,B5,,,RS P1,67,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,,RS P3,B6,,,RS P1,68,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,N9K EMIT ISCIS A 1-2,RS P3,B7,,GPD B 1-1,RS P1,7,,,Y,,,,,,,,,,,,,,
